code_uic,libelle,fret,voyageurs,code_ligne,rg_troncon,pk,commune,departemen,idreseau,idgaia,x_l93,y_l93,x_wgs84,y_wgs84,c_geo.lon,c_geo.lat,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type
87192617,Batilly,O,N,086000,1,325+380,BATILLY,MEURTHE-ET-MOSELLE,3104,29dc73be-dfbc-11e3-a2ff-01a464e0362d,916707.8911999986,6900365.132199999,5.971846345350173,49.16633828912713,5.971846345350173,49.16633828912713,5.971846345350175,49.16633828910663,Feature,"[5.971846345350175, 49.16633828910663]",Point
87415216,St-Pierre-le-Viger-Fontaine-le-Dun,O,N,357000,1,027+422,SAINT-PIERRE-LE-VIGER,SEINE-MARITIME,8730,d9b57d64-6667-11e3-89ff-01f464e0362d,544815.5865999982,6971576.549199998,0.844717727716975,49.82396371063189,0.844717727716975,49.82396371063189,0.844717727716973,49.82396371061456,Feature,"[0.844717727716973, 49.82396371061456]",Point
87726828,Le Coteau,N,O,750000,1,423+117,LE COTEAU,LOIRE,4927,d96a287a-6667-11e3-89ff-01f464e0362d,784034.7600999996,6547667.6195,4.08631855553161,46.023554212978496,4.08631855553161,46.023554212978496,4.086318555531611,46.02355421296181,Feature,"[4.086318555531611, 46.02355421296181]",Point
87742361,St-Michel-Valloire,O,O,900000,1,220+364,SAINT-MICHEL-DE-MAURIENNE,SAVOIE,6603,e1ca0daa-19bf-11e5-a6ff-01fc64e0362d,972437.5221000016,6463494.949499998,6.471910120533972,45.21686650849768,6.471910120533972,45.21686650849768,6.471910120533975,45.21686650847871,Feature,"[6.471910120533975, 45.21686650847871]",Point
87313759,Abancourt,N,O,325000,1,125+807,ABANCOURT,OISE,2787,295fd798-dfbc-11e3-a2ff-01a464e0362d,611514.804899998,6954737.1503,1.774495414204267,49.68552581891906,1.774495414204267,49.68552581891906,1.7744954142042662,49.68552581890106,Feature,"[1.774495414204266, 49.68552581890106]",Point
87580340,Arenc-Euroméditerranée,N,O,939001,1,859+233,MARSEILLE,BOUCHES-DU-RHONE,136243,d9e879e2-6667-11e3-89ff-01f464e0362d,892173.8425000012,6248850.781800002,5.367806699275027,43.31288294485868,5.367806699275027,43.31288294485868,5.367806699275028,43.31288294483474,Feature,"[5.367806699275028, 43.31288294483474]",Point
87141820,Pont-à-Mousson,O,O,090000,1,362+086,PONT-A-MOUSSON,MEURTHE-ET-MOSELLE,8495,c0f03a58-f312-11e3-90ff-015864e0362d,923591.5756999999,6871008.903000001,6.050608194237219,48.90020719080954,6.050608194237219,48.90020719080954,6.050608194237221,48.900207190787704,Feature,"[6.050608194237221, 48.900207190787704]",Point
87743120,Pont-d'Ain,N,O,883000,1,056+537,PONT-D'AIN,AIN,6059,2985e64e-dfbc-11e3-a2ff-01a464e0362d,880448.5530000031,6553121.999000002,5.334213116969928,46.05385683262983,5.334213116969928,46.05385683262983,5.334213116969929,46.05385683261324,Feature,"[5.334213116969929, 46.05385683261324]",Point
87696682,Château-Chinon,O,N,763000,1,306+685,CHATEAU-CHINON (CAMPAGNE),NIEVRE,3638,d9d9b268-6667-11e3-89ff-01f464e0362d,770281.8052000031,6663923.953600001,3.926178092229213,47.07185440026569,3.9261780922292133,47.07185440026569,3.9261780922292147,47.07185440025207,Feature,"[3.926178092229215, 47.07185440025207]",Point
87182543,Luttenbach-près-Munster,N,O,119000,1,019+750,LUTTENBACH-PRES-MUNSTER,HAUT-RHIN,5280,29a7183a-dfbc-11e3-a2ff-01a464e0362d,1006837.8671000004,6778551.525600001,7.118844201837517,48.03530647173009,7.118844201837517,48.03530647173009,7.118844201837519,48.0353064717193,Feature,"[7.118844201837519, 48.0353064717193]",Point
